	k
0	0.05733628046615073
1	0.07316739917462341
2	0.0839672416205163
3	0.0934132307491164
4	0.10225531535455896
5	0.11086081502899782
6	0.11960209483533157
7	0.128660986398679
8	0.1380544210951535
9	0.14778135115151875
10	0.15784127857212538
11	0.1682353078132951
12	0.17896183578464211
13	0.1900220949668969
14	0.20141501598527523
15	0.21314098750366406
16	0.22520005883672634
17	0.2375917937976349
18	0.25031636004170044
19	0.26337369080929707
20	0.2767637821398625
21	0.29048656041016785
22	0.3045419969215278
23	0.31893006999828993
24	0.3336507572301312
25	0.34870403330580163
26	0.364089871949358
27	0.3798082630545593
28	0.3958592272490316
29	0.4122427237621108
30	0.42895868921087954
31	0.4460072123370408
32	0.46338819881859755
33	0.48110168757557653
34	0.4991476448897499
35	0.5175260969954323
36	0.5362369647266453
37	0.5552808770788453
38	0.5747293050286983
39	0.5948073475264718
40	0.6155870203226946
41	0.6370928327630461
42	0.6593501509452405
43	0.6823852384770981
44	0.7062252576822288
45	0.7308983201092095
46	0.7564335544064535
47	0.7828610659019775
48	0.810212029409072
49	0.8385187051369226
50	0.867814489619878
51	0.8981339429684362
52	0.929512820100473
53	0.9619881394129963
54	0.9955982107021575
55	1.0303826733995418
56	1.066382565792533
57	1.1036403474533043
58	1.1421999737693005
59	1.1821069214814446
60	1.2234082718775061
61	1.266152741761897
62	1.310390721931686
63	1.3561744647349698
64	1.4035579197625876
65	1.4525969951787046
66	1.5033495298776185
67	1.5558754041711522
68	1.610236559774174
69	1.6664971384242107
70	1.7247234941481913
71	1.784984313850518
72	1.8473506801394475
73	1.9118961502964213
74	1.9786968832950083
75	2.0478316480927887
76	2.119382015860713
77	2.1934323791393076
78	2.2700700882686187
79	2.349385538833733
80	2.431472299904512
81	2.5164271928001254
82	2.604350433641173
83	2.6953457371953498
84	2.7895204207522584
85	2.8869855930593498
86	2.987856216286379
87	3.0922512808343185
88	3.20029391483922
89	3.3121115808647263
90	3.4278361677053852
91	3.547604177301517
92	3.6715568985169407
93	3.7998405389283314
94	3.932606504743157
95	4.070011171168687
96	4.212216352312852
97	4.359391115244029
98	4.511707732218506
99	4.669346295399749
100	4.832492755006477
101	5.001339554041555
102	5.176085866719868
103	5.356937819429972
104	5.544108755019225
105	5.737819458393679
106	5.938298402951326
107	6.145782021530473
108	6.360515264434345
109	6.582750964320219
110	6.812752141195088
111	7.0507893128528565
112	7.297143629508671
113	7.552105430694458
114	7.815975702028263
115	8.089065678160589
116	8.371697488945303
117	8.6642045567468
118	8.966931941286461
119	9.280236735470059
120	9.604488611886566
121	9.940070012556792
122	10.287377045155386
123	10.646819090754265
124	11.018820427520954
125	11.403820139877025
126	11.80227226370597
127	12.214647129620241
128	12.641431082952938
129	13.083127895681326
130	13.540258854569545
131	14.013363817425699
132	14.50300030827071
133	15.009747188713233
134	15.534202374608412
135	16.0769852435854
136	16.638736694768006
137	17.220120288757034
138	17.82182284997816
139	18.44455537493425
140	19.089053878991113
141	19.75608059630138
142	20.446424168311168
143	21.160901602912833
144	21.900358753502964
145	22.66567106805467
146	23.457745774555242
147	24.277522144282656
148	25.125973199263484
149	26.004106856451507
150	26.91296725449896
151	27.853636268717178
152	28.82723570499828
153	29.834927772968257
154	30.87791771173987
155	31.957455417389383
156	33.07483746306093
157	34.23140966295046
158	35.428568889796374
159	36.66776563983296
160	37.95050720489891
161	39.278360809445466
162	40.652955954678056
163	42.075989714517064
164	43.54922905772181
165	45.07451628368649
166	46.65377434112554
167	48.28901137007217
168	49.98232774967034
169	51.73592285771555
170	53.55210265202368
171	55.43328996303221
172	57.38203187508061
173	59.40101491931423
174	61.49307517506352
175	63.66121504451189
176	65.90861979272661
177	68.23867777805796
178	70.65500216275417
179	73.16145939602147
180	75.76219743434389
181	78.46168253638747
182	81.26473944767392
183	84.17660045540656
184	87.20295941320799
185	90.35003957236168
186	93.62467080379854
187	97.03437978019005
188	100.58750028168758
189	104.29330268847824
190	108.16215008828036
191	112.20568632083209
192	116.43706570231626
193	120.87123101406344
194	125.52526188841749
195	130.4188040564854
196	135.57460780992997
197	141.01921762908546
198	146.7838510978246
199	152.9055487355295
200	159.42868977497477
201	166.40702591642597
202	173.90646382327517
203	182.00894365549414
204	190.8009398549109
205	199.9754428566376
206	209.1497830937375
207	218.32085868533147
208	227.5038371518719
209	236.7129832941861
210	245.96181111409038
211	255.2632169065888
212	264.62959275478056
213	274.0729302632734
214	283.60491280505397
215	293.2369917732704
216	302.98046154105805
217	312.84652623578893
218	322.84635966313414
219	332.9911608673743
220	343.2922102072975
221	353.76091759240745
222	364.40887137576016
223	375.24788542683126
224	386.29004756965713
225	397.54775944418634
226	409.03379329046163
227	420.76132722637055
228	432.74400072014083
229	444.9959587839442
230	457.5319064826884
231	470.3671565289536
232	483.51769212022174
233	497.0002157255552
234	510.83221822167343
235	525.032040646974
236	539.6189457517197
237	554.6131846568644
238	570.0360916318331
239	585.9101538702492
240	602.2591132841054
241	619.1080604131143
242	636.4835477146733
243	654.4137005092872
244	672.928345203175
245	692.0591493783312
246	711.8397816386702
247	732.6762687055781
248	756.1781669149622
249	783.4642511991561
250	815.8204398877184
251	855.2832332499538
252	905.3449585320355
253	972.7248779809223
254	1072.9706504267367
255	1254.2479218411859
